countryisocode,year,xlong,ylat,lny,lns,lnngd,ltrade
"CHL",1955,-70.65,-33.48,9.187628,-1.110711,-2.770934,20.06846
"COL",1955,-74.08,4.63,9.174257,-1.462056,-2.648124,20.60633
"CRI",1955,-84.08,9.93,9.539351,-2.001647,-2.558274,18.71437
"DNK",1955,12.55,55.72,9.939585,-2.014765,-2.97722,20.77412
"DOM",1955,-69.91,18.5,8.697821,-1.726491,-2.658275,19.844
"ECU",1955,-78.52,-.23,8.708483,-.9447744,-2.642667,19.63304
"EGY",1955,31.25,30.08,7.790629,-2.376332,-2.693275,21.22207
"ESP",1955,-3.69,40.44,9.463484,-1.560934,-2.841158,20.25724
"ETH",1955,38,9.03,6.631156,-2.235409,-2.722861,18.74206
"FIN",1955,24.98,60.2,9.661675,-1.22685,-2.950731,20.46852
"FRA",1955,2.43,48.88,9.843772,-1.694254,-2.946061,22.23453
"GBR",1955,-.18,51.49,9.99687,-2.014677,-2.928509,23.08805
"GRC",1955,23.65,38.12,9.233038,-1.972596,-2.84731,19.85058
"GTM",1955,-90.52,14.62,8.890192,-1.603619,-2.576303,20.01221
"HND",1955,-87.2,14.1,8.659591,-1.674569,-2.565928,19.62747
"IND",1955,77.22,28.57,7.392653,-1.935669,-2.768582,21.9616
"IRL",1955,-6.26,53.34,9.719056,-1.529113,-3.396179,19.9893
"ISR",1955,34.86,31.92,9.708441,-1.160519,-2.573476,19.36329
"ITA",1955,12.52,41.88,9.562554,-1.262177,-2.968348,21.94184
"JPN",1955,139.81,35.68,9.033707,-1.798699,-2.665371,21.39704
"KEN",1955,36.83,-1.17,7.836762,-1.543969,-2.530132,19.7845
"LKA",1955,80.09,7.02,7.454082,-1.213891,-2.569859,20.51492
"MAR",1955,-6.75,33.92,7.759491,-1.154216,-2.591219,20.39484
"MEX",1955,-99.13,19.43,9.677652,-1.550583,-2.628795,21.43849
"MUS",1955,59.57,-20.1,8.97236,-1.256164,-2.604245,18.47443
"NGA",1955,3.3,6.45,8.208376,-2.240768,-2.546045,20.99804
"NIC",1955,-86.27,12.15,9.10593,-1.646083,-2.601283,18.54252
"NLD",1955,4.89,52.37,10.32714,-1.584645,-2.966484,22.04963
"NOR",1955,10.72,59.93,10.18842,-1.06895,-2.969938,21.10788
"NZL",1955,175.14,-41.21,10.39625,-1.62308,-2.684757,20.28187
"PAK",1955,73.06,33.72,7.533688,-2.458708,-2.804575,20.42275
"PAN",1955,-79.4,8.95,8.718024,-1.871549,-2.666286,19.45766
"PER",1955,-76.82,-12.07,9.094416,-.8171558,-2.656183,20.68437
"PHL",1955,121.17,14.55,8.08493,-1.69681,-2.713488,21.38074
"PRT",1955,-9.13,38.73,9.081283,-1.876968,-2.994996,20.26592
"PRY",1955,-57.67,-25.22,8.392021,-2.563598,-2.688744,18.45338
"SLV",1955,-89.2,13.7,9.197909,-2.332867,-2.633693,19.27802
"SWE",1955,18.08,59.24,10.19764,-1.536959,-2.871153,21.43623
"THA",1955,100.55,13.75,7.305866,-1.63698,-2.580791,20.591
"TTO",1955,-61.49,10.64,9.669998,-1.240508,-2.599191,18.93201
"TUR",1955,32.85,39.93,8.632694,-2.404069,-2.714309,20.04211
"UGA",1955,32.58,.32,7.267197,-2.35234,-2.620756,18.71622
"URY",1955,-56.17,-34.92,9.395761,-1.393771,-2.758378,19.27766
"USA",1955,-76.95,38.89,10.5232,-1.712568,-2.747643,23.48964
"VEN",1955,-66.9,10.5,10.00399,-.931295,-2.465353,21.5071
"ZAF",1955,28.22,-25.73,9.444947,-1.514247,-2.665926,21.86481
"ZAR",1955,15.47,-4.39,7.557145,-1.139346,-2.657378,17.91665
"ARG",1956,-58.41,-34.67,9.481374,-1.71028,-2.767938,21.16337
"AUS",1956,149.04,-35.35,10.39112,-1.195092,-2.641291,21.34952
"AUT",1956,16.32,48.2,9.791941,-1.641243,-3.063005,21.07892
"BEL",1956,4.37,50.84,10.05251,-1.360701,-2.979719,22.13642
"BOL",1956,-68.15,-16.5,8.803453,-1.872468,-2.709924,19.70446
"BRA",1956,-47.9,-15.79,8.7095,-1.512137,-2.584571,21.26831
"CAN",1956,-75.65,45.37,10.48614,-1.535435,-2.687972,22.59861
"CHE",1956,7.45,46.95,10.51162,-1.439178,-2.532366,21.82619
"CHL",1956,-70.65,-33.48,9.184889,-1.057406,-2.745059,20.03098
"COL",1956,-74.08,4.63,9.177247,-1.486913,-2.630321,20.56886
"CRI",1956,-84.08,9.93,9.508336,-1.898985,-2.578962,18.69197
"DNK",1956,12.55,55.72,9.96335,-1.905907,-2.995503,20.81825
"DOM",1956,-69.91,18.5,8.770943,-1.731993,-2.655458,19.91655
"ECU",1956,-78.52,-.23,8.719656,-.973511,-2.645269,19.6314
"EGY",1956,31.25,30.08,7.799085,-2.6057,-2.720931,21.16282
"ESP",1956,-3.69,40.44,9.529917,-1.533214,-2.839893,20.39184
"ETH",1956,38,9.03,6.647882,-2.388197,-2.75456,18.67241
"FIN",1956,24.98,60.2,9.689183,-1.209449,-2.957433,20.51055
"FRA",1956,2.43,48.88,9.898386,-1.661061,-2.88351,22.31511
